Tarih,Baca1_Devir,Baca2_Devir,Kabin1_Fan,Kabin2_Fan,Kabin3_Fan,Kabin4_Fan,Kabin5_Fan,Kabin6_Fan,Kabin7_Fan,Kabin8_Fan,Kabin1_Set_Sicaklik,Kabin2_Set_Sicaklik,Kabin3_Set_Sicaklik,Kabin4_Set_Sicaklik,Kabin5_Set_Sicaklik,Kabin6 _Set_Sicaklik,Kabin7_Set_Sicaklik,Kabin8_Set_Sicaklik,Kabin1_Sicaklik,Kabin2_Sicaklik,Kabin3_Sicaklik,Kabin4_Sicaklik,Kabin5_Sicaklik,Kabin6_Sicaklik,Kabin7_Sicaklik,Kabin8_Sicaklik,Giris_En,Kabin1_En,Kabin2_En,Kabin3_En,Kabin4_En,Kabin5_En,Kabin6_En,Kabin7_En,Kabin8_En,Cikis_En,Makine_Hiz_Set_Degeri,Makine_Sol_Zincir_Hizi
14:50:35,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,160.199996948242,163.300003051758,161.300003051758,165.100006103516,163.399993896484,162.600006103516,162.699996948242,159,152,148,150,150,150,150,150,150,150,150,27,27.09069443
14:53:36,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,168.899993896484,169,169.600006103516,170.100006103516,169,168.300003051758,169.100006103516,164,152,148,150,150,150,150,150,150,150,150,27,27.11425209
14:56:37,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,169.5,169,169.5,169,169.5,169.199996948242,169.199996948242,170.699996948242,152,148,150,150,150,150,150,150,150,150,27,27.07891655
14:59:37,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,170.199996948242,168.300003051758,167.5,168,169.899993896484,169.800003051758,169.899993896484,163.100006103516,152,148,150,150,150,150,150,150,150,150,27,27.19081306
15:02:37,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,169.300003051758,169.5,170,169.800003051758,169.399993896484,170,169.899993896484,169.5,152,148,150,150,150,150,150,150,150,150,27,27.20259094
15:05:37,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,169.5,169.699996948242,169.100006103516,169.399993896484,169.5,168.899993896484,169.899993896484,170.100006103516,152,148,150,150,150,150,150,150,150,150,30,30.13545227
15:08:37,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,169.899993896484,169,169.100006103516,170.100006103516,169.800003051758,169.800003051758,169.5,164.300003051758,152,148,150,150,150,150,150,150,150,150,30,30.17078781
15:11:37,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,169,168.5,168.600006103516,169.300003051758,169.899993896484,169.5,168.699996948242,170.100006103516,152,148,150,150,150,150,150,150,150,150,30,30.1825676
15:14:37,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,153.800003051758,163.899993896484,162.199996948242,163.100006103516,163.800003051758,164.100006103516,163.5,144.800003051758,152,148,150,150,150,150,150,150,150,150,30,30.19434547
15:17:38,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,163.800003051758,165.399993896484,165.600006103516,166,167.800003051758,167,165.300003051758,165.899993896484,152,148,150,150,150,150,150,150,150,150,30,30.1177845
15:20:38,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,169.699996948242,168.800003051758,169.800003051758,168.600006103516,169.5,169.399993896484,168.899993896484,163.800003051758,152,148,150,150,150,150,150,150,150,150,30,30.13545227
15:23:38,30,80,60,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,169.699996948242,170,169.699996948242,169.600006103516,169.300003051758,169.800003051758,169.699996948242,166.199996948242,152,148,150,150,150,150,150,150,150,150,33,33.20376968
15:26:38,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,175,173.399993896484,174.399993896484,174.300003051758,173.600006103516,174.300003051758,174.699996948242,175.399993896484,152,148,150,150,150,150,150,150,150,150,33,33.19787979
15:29:38,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,174.699996948242,174.800003051758,174.699996948242,174.699996948242,174.100006103516,175.5,174.5,170.600006103516,152,148,150,150,150,150,150,150,150,150,33,33.17432404
15:32:38,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,174.300003051758,174.800003051758,174.199996948242,174,174.699996948242,174.199996948242,174.899993896484,168.300003051758,152,148,150,150,150,150,150,150,150,150,33,33.10953903
15:35:38,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,174.600006103516,174.699996948242,175.100006103516,173.800003051758,174.899993896484,174.699996948242,174.5,174.5,152,148,150,150,150,150,150,150,150,150,33,33.22732544
15:38:38,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,175,174.300003051758,175,175.100006103516,174.800003051758,174.899993896484,174.199996948242,172.199996948242,152,148,150,150,150,150,150,150,150,150,33,33.15665436
15:41:38,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,175.199996948242,174.699996948242,175,175.5,174.699996948242,174.699996948242,174.899993896484,169,152,148,150,150,150,150,150,150,150,150,33,33.16254425
15:44:39,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,174.5,173.800003051758,175.100006103516,174.800003051758,174.899993896484,175.199996948242,174.199996948242,175.800003051758,152,148,150,150,150,150,150,150,150,150,33,33.23321533
15:47:39,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,174.399993896484,174.600006103516,174.399993896484,174.300003051758,175.199996948242,174.399993896484,174.699996948242,172.199996948242,152,148,150,150,150,150,150,150,150,150,33,33.23321533
15:50:39,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,175,174.800003051758,173.800003051758,174.800003051758,173.699996948242,175.300003051758,174.300003051758,168.699996948242,152,148,150,150,150,150,150,150,150,150,33,33.12131882
15:53:39,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,174.800003051758,174.899993896484,173.5,173.100006103516,173.699996948242,174.100006103516,174.800003051758,174,152,148,150,150,150,150,150,150,150,150,21,21.05418015
15:56:39,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,174.199996948242,175.100006103516,174.100006103516,175.399993896484,174.300003051758,174.399993896484,174.699996948242,176,152,148,150,150,150,150,150,150,150,150,21,0
15:59:39,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,136.399993896484,156.300003051758,153.399993896484,159.600006103516,156,155.699996948242,152.699996948242,126.599998474121,152,148,150,150,150,150,150,150,150,150,21,0
16:02:40,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,121.699996948242,144.199996948242,135.699996948242,149.600006103516,142.800003051758,143,143.600006103516,116.900001525879,152,148,150,150,150,150,150,150,150,150,21,0
16:05:40,30,80,60,60,60,60,60,60,60,60,175,175,175,175,175,175,175,175,109.400001525879,129,128.899993896484,138.199996948242,136.100006103516,137.399993896484,129.300003051758,107.199996948242,152,148,150,150,150,150,150,150,150,150,11,15.10011768
16:08:40,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,163.899993896484,167.100006103516,170.300003051758,173.699996948242,171.399993896484,172,170.100006103516,161,153,153,153,153,153,153,153,153,153,153,21,21.18374443
16:11:40,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,177.100006103516,176.899993896484,177.300003051758,179.199996948242,178,178.199996948242,178.600006103516,174.300003051758,153,153,153,153,153,153,153,153,153,153,22,22.17314529
16:14:40,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,179,178.399993896484,178.600006103516,180.100006103516,179.199996948242,179.399993896484,178.699996948242,179.800003051758,155,153,153,153,153,153,153,153,153,153,22,22.09069443
16:17:41,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,179.899993896484,178.699996948242,179.300003051758,179.100006103516,178.699996948242,178,178.899993896484,175.199996948242,155,153,153,153,153,153,153,153,153,153,22,22.09069443
16:20:41,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,179.100006103516,178.699996948242,180.199996948242,178.5,178.199996948242,180,179.600006103516,176,155,153,153,153,153,153,153,153,153,153,22,22.13191986
16:23:42,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,179.5,178.600006103516,178.699996948242,178.5,179.800003051758,178.699996948242,179.800003051758,180.199996948242,155,153,153,153,153,153,153,153,153,153,22,22.14369774
16:26:43,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,179.600006103516,179.699996948242,180,179.399993896484,179.399993896484,178.600006103516,179.5,177.300003051758,155,153,153,153,153,153,153,153,153,153,22,22.13191986
16:29:43,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,178.899993896484,180.600006103516,178.899993896484,179.600006103516,179.899993896484,178.800003051758,179.899993896484,174.600006103516,155,153,153,153,153,153,153,153,153,153,22,22.13780785
16:32:43,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,180,180,180,180.199996948242,179.800003051758,179.199996948242,179.899993896484,179.300003051758,155,153,153,153,153,153,153,153,153,153,22,22.13191986
16:35:44,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,179.600006103516,178.399993896484,179.100006103516,179.800003051758,178.699996948242,179.699996948242,179,175.600006103516,155,153,153,153,153,153,153,153,153,153,22,22.07891655
16:38:44,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,178.699996948242,179.399993896484,179.399993896484,180.399993896484,180.100006103516,180,179.5,180.199996948242,155,153,153,153,153,153,153,153,153,153,22,22.05535889
16:41:45,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,179.899993896484,179.699996948242,179.100006103516,178.699996948242,179.300003051758,180.300003051758,179.699996948242,174.199996948242,155,153,153,153,153,153,153,153,153,153,22,22.07891655
16:44:45,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,179.600006103516,179.699996948242,179.800003051758,178.800003051758,179.100006103516,180,180,179.800003051758,155,153,153,153,153,153,153,153,153,153,22,22.02002335
16:47:46,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,180,179.800003051758,178.800003051758,179.5,180.100006103516,179.800003051758,179.899993896484,173.399993896484,155,153,153,153,153,153,153,153,153,153,22,22.14369774
16:50:47,30,80,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,178.600006103516,179.300003051758,178.899993896484,179.100006103516,179.100006103516,179.800003051758,179.699996948242,180.5,155,153,153,153,153,153,153,153,153,153,22,22.14369774
